,1,2,3,4,5,6,7,8,9,10,11,12,13
Antlr,432,376,14,1091,251,5,27,0,0,1,2,0,0
AutoMapper,2231,891,111,2730,521,25,141,1,0,9,19,5,0
Castle.Core,6941,4065,292,9793,1942,75,684,34,7,21,146,14,0
elmah.corelibrary,682,248,67,1552,171,3,32,3,1,0,18,1,0
EntityFramework,105761,65768,8244,261036,22196,1502,11152,1479,95,330,2307,319,37
FParsec,0,2,0,0,1,0,0,0,0,0,0,0,0
log4net,1807,2327,77,5566,516,18,269,4,0,6,39,4,0
MathNet.Numerics,2801,1624,48,14436,1040,19,352,0,0,2,42,1,0
Microsoft.AspNet.SignalR.Core,3916,1110,60,2334,547,4,4,0,0,0,2,0,0
Microsoft.Bcl,0,0,0,1,0,0,0,0,0,0,0,0,0
Microsoft.Owin,86,52,23,126,48,4,20,2,0,0,5,0,0
Mono.Cecil,8178,3781,1880,5581,1436,286,1213,233,9,93,290,172,35
Moq,5856,3140,304,5621,1054,43,442,38,3,20,58,12,0
Nancy,6369,2906,103,9220,894,9,121,1,1,3,29,1,0
Newtonsoft.Json,4253,3306,827,5670,971,186,543,71,3,26,99,47,7
Nuget.Core,4613,1926,67,5177,1204,9,28,1,0,1,0,1,0
NUnit,2098,1134,134,3371,224,9,541,39,1,32,68,9,1
SpecFlow,2452,836,84,1407,297,6,41,0,0,1,7,0,0
xunit,467,234,22,619,161,1,15,0,2,0,5,0,0
YamlDotNet,2137,604,160,2147,350,12,59,55,0,9,8,15,0
canopy,13,3,0,0,7,0,0,0,0,0,0,0,0
Deedle,847,540,0,875,280,0,0,0,0,0,0,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0
Foq,100,88,0,138,37,0,0,0,0,0,0,0,0
FParsec,0,2,0,0,1,0,0,0,0,0,0,0,0
FsCheck,182,244,10,153,69,2,1,0,0,0,2,0,0
FSharp.Compiler.Service,16,7,0,4,8,0,0,0,0,0,0,0,0
FSharp.Core,377,535,24,2227,293,13,56,0,0,0,19,1,0
FSharp.Data,179,248,7,197,95,0,11,0,0,0,7,0,0
FSharp.Data.Twitter,31,24,9,23,17,0,0,0,0,0,0,0,0
FSharpx.Core,27,11,0,146,9,0,0,0,0,0,0,0,0
FsPowerPack.Core.Community,23,36,0,54,36,0,2,0,0,0,0,0,0
FsSql,16,21,0,5,1,0,0,0,0,0,0,0,0
FsUnit,0,0,0,0,0,0,0,0,0,0,0,0,0
FsYaml,3,7,0,4,3,0,0,0,0,0,0,0,0
Storm,880,206,0,469,203,0,0,0,0,0,0,0,0
TickSpec,151,9,0,26,18,0,0,0,0,0,0,0,0
WebSharper,3,7,0,24,1,0,0,0,0,0,0,0,0
WebSharper.Core,6,8,0,8,5,0,0,0,0,0,0,0,0
WebSharper.Html,35,2,0,93,24,0,0,0,0,0,0,0,0
