,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Antlr,688,707,17,868,3845,707,2,379,18,228,102,1,1222,69,0,231,0,68,5,294,0,9,0,28,2178,222,48,7,30,0,605,40,15,0,0,52,0,10,1,1,0,81,1,3,0,4,0,0,52,55,1,1,2,0,0,0,0,0,4777,2437,209,53,151,5,305,104,1,14,0,0,1,2,0,0,136,0,0,0,180,12,4,0,0,0,9,50,0,32,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AutoMapper,12624,1687,920,5994,19794,4662,279,822,663,794,285,72,4276,374,1,1210,0,1067,83,609,22,132,41,133,4919,426,352,93,266,18,1627,144,42,2,13,110,0,39,10,119,41,251,14,36,11,15,12,0,433,144,26,27,13,1,7,0,5,0,21153,5382,401,97,163,42,996,175,28,6,0,0,5,6,7,0,2274,36,0,0,267,11,85,0,1,0,269,683,70,163,4,7,0,0,3,0,1,0,3,64,5,0,0,7,1,0,17,6,0,0,0,3,0,24,8,0,0,0,0,0,0,73,0,1,0,0,0,0,1,0,0,19,8,3,2,5,0,1,0,0,0,0,0,0,1,14,0,2,1,1,0,0,27,4,0,0,8,4,1,65,20,0,0,0,0,0,0,8,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle.Core,29048,13220,1365,28451,90552,14314,375,7284,559,6894,2129,133,22140,2995,209,5766,37,853,114,3793,33,668,53,326,25841,2162,1535,154,3873,85,9241,537,390,51,32,548,2,120,3,842,36,873,14,248,7,115,53,0,1297,680,24,49,105,26,3,7,5,0,65493,23080,1553,903,1025,104,3959,811,60,263,20,0,8,107,10,0,6531,593,20,236,907,169,896,5,161,24,146,3265,148,1019,3,181,17,10,74,4,5,0,27,292,0,29,0,67,59,10,72,62,1,4,1,1,0,3,3,0,1,3,0,2,0,120,0,30,2,0,35,0,8,1,2,51,5,4,156,33,7,3,0,5,1,0,0,1,6,1,0,13,0,0,0,0,19,1,11,1,19,0,0,518,82,5,1,0,14,0,0,90,0,29,0,0,0,0,1,1,0,1,0,12,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elmah.corelibrary,1486,336,280,1003,6750,624,237,105,8,678,19,0,1046,121,36,156,5,28,0,65,0,58,3,96,1233,62,180,15,84,18,491,19,2,0,0,12,0,0,0,57,0,40,0,14,1,2,0,0,77,6,51,1,3,0,0,15,0,0,10401,2062,101,30,47,1,652,28,1,33,0,0,0,15,1,0,256,3,1,22,5,0,8,2,0,0,0,104,5,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EntityFramework,1418918,696823,128757,780595,5510832,426504,31413,192716,43533,165149,36833,5656,1213383,144531,13463,267563,3198,76735,5567,98328,4257,32982,4450,36329,2652008,101179,255841,16167,122521,9011,415895,34026,15332,4218,1648,18884,551,7037,535,38731,2718,23179,982,6551,1296,6419,2065,1302,33612,23582,2391,3022,5313,434,656,1330,305,508,15490060,1737484,46301,88536,31202,5663,133744,20853,2330,10035,703,141,406,3167,659,236,350553,15371,13277,5660,112666,4921,49485,341,16647,383,10722,201198,6927,22289,682,6551,1056,59,3277,34,4301,11,573,8499,144,2334,63,10093,6029,1318,3281,3471,365,168,249,72,174,227,142,61,41,77,23,36,32,8051,1264,1137,328,182,794,51,551,93,58,3245,143,99,5543,1484,50,62,39,22,93,14,35,9,289,222,41,699,67,53,50,55,1691,115,103,13,1152,113,24,36604,3610,423,9,41,1165,26,30,3726,95,1717,74,9,48,11,6,52,22,24,15,293,105,36,293,69,40,42,0,7,15,10,1,0,8,9,27,19,123,16,6,25,6
FParsec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log4net,5982,10895,314,6061,27377,2235,185,1654,250,667,187,26,35523,1218,10,2633,0,694,35,1975,18,140,16,54,17206,1916,440,22,739,19,4121,256,52,4,9,137,0,27,3,146,7,138,20,31,3,23,17,0,261,113,9,15,8,2,5,0,1,0,65958,9143,515,251,275,28,759,102,13,27,0,0,1,12,5,0,4338,102,0,0,1582,49,621,0,78,2,66,1485,47,240,3,35,2,0,30,0,0,0,3,53,0,2,0,85,14,3,2,3,0,0,0,1,0,0,2,0,0,0,0,0,0,74,0,5,0,0,0,0,0,0,0,3,1,0,23,3,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,1,0,0,0,1,0,0,265,25,0,0,0,1,0,0,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MathNet.Numerics,4767,1467,42,7014,78467,3529,26,988,52,5621,460,12,13438,296,0,1502,0,1163,7,757,1,122,0,23,35366,391,707,7,1044,0,3849,288,58,0,0,121,0,94,0,115,1,119,1,22,0,18,2,0,603,147,14,2,62,0,1,0,4,0,231164,29458,848,933,567,22,3037,230,2,41,0,0,0,40,0,0,10331,0,0,0,2160,32,362,0,0,0,115,996,94,330,0,0,0,0,25,0,0,0,0,22,0,0,0,4,12,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,6,0,0,2,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,4,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.AspNet.SignalR.Core,27305,4499,916,10539,35434,6019,156,2124,110,1909,629,1,1729,68,0,1163,0,3,0,405,0,8,0,134,5021,473,128,42,19,0,1040,4,16,0,0,108,0,1,0,17,0,116,0,20,0,0,0,0,285,143,12,3,1,0,0,0,0,0,7908,3535,227,37,181,7,543,112,1,4,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Bcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
